"ACTION","AS_units...2","AS_COMPLETION","ROW_COMPLETION","skip","checked_for_duplicates","row_number","Source","Source DOI","author","author_doi","data_location","sample","notes","notes2","treatment_OLD","treatment","treatment_NOTES","treatment_level","latitude","longitude","lat_lon_notes","location","elevation_m","lyrtop_cm","lyrbot_cm","horizon","soil_type","ecosystem","wetland_type","aridity","plant_species","MAP(mm)","MAT(°)","Duration (year)","year_sampled","fraction_scheme","aggregate_size_OLD","aggregate_size","amino_sugars","AS_units...41","gluN","gluN_units","murA","murA_units","galN","galN_units","manN","manN_units","microbial_necromass_C","MNC_units","fungal_necromass_C","FNC_units","bacterial_necromass_C","BNC_units","bacterial_biomass_C","bbc_units","fungal_biomass_C","fbc_units","microbial_biomass_C","MBC-units","microbial_biomass_N","MBN-units","soc","SOC_units","soil_C","TC_units","soil_N","TN_units","soil C/N","pH","pH_method","clay","silt","sand","texture","bulk_density","Method","other_variables_available"
,,"10","31",,,"3481","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"33.3","-103.36",,"Amarillo, North American","1244","0","10",,"Aridic Paleustalfs","grassland",,,,"466","17.1",,,"bulk soil",,,"246","mg/kg","160","mg/kg","12","mg/kg","70","mg/kg","4","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"4.26","g/kg","0.47","g/kg","9.06",,,"11.30","2","86.7",,,,
,,"10","31",,,"3482","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"32.82","-98.47",,"Halettsville, North American","337","0","10",,"Udertic Paleustolls","grassland",,,,"1030","20",,,"bulk soil",,,"666","mg/kg","423","mg/kg","28","mg/kg","201","mg/kg","14","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"12.9","g/kg","0.99","g/kg","13.03",,,"27.30","13.4","59.3",,,,
,,"10","31",,,"3483","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"31.72","-94.59",,"Morey, North American","133","0","10",,"Typic Argiaquolls","grassland",,,,"1308","20.3",,,"bulk soil",,,"985","mg/kg","676","mg/kg","31","mg/kg","260","mg/kg","18","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"11.5","g/kg","1.04","g/kg","11.06",,,"22.20","17.9","59.9",,,,
,,"10","31",,,"3484","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"30.19","-97.05",,"Racombes, North American","167","0","10",,"Pachic Argiustolls","grassland",,,,"700","22.2",,,"bulk soil",,,"382","mg/kg","244","mg/kg","9","mg/kg","122","mg/kg","6","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"11.2","g/kg","0.89","g/kg","12.58",,,"27.90","8.4","63.7",,,,
"Y",,"8","30",,,"3726","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Appuhn et al. 2004","https://doi.org/10.1002/jpln.200321302",,"N015",,,,,,,"52.26","13.13",,"M®πhlberg, Kassel, Germany","167","0","10",,,"grassland",,,,"686","9",,,"bulk soil",,,"894","mg/kg","830","mg/kg","64","mg/kg",,"mg/kg",,"mg/kg",,,,,,,,,,,"344","mg/kg",,"mg/kg",,,"16.3","g/kg","1.7","g/kg","9.59","6.9",,"17.00","77","6",,,,
"Y",,"8","32","duplicate",,"3857","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Scheller and Joergensen 2008","https://doi.org/10.1002/jpln.200700272",,"N032",,,,,,,"51.19","9.52",,"Wendershausen, Germany","145","0","20",,"Eutric Cambisols","cropland",,,,"630","8.5",,,"bulk soil",,,"340","mg/kg","316","mg/kg","24","mg/kg",,"mg/kg",,"mg/kg",,,,,,,,,,,"319","mg/kg","47","mg/kg",,,"10.6","g/kg","1.12","g/kg","9.5","7.9",,"17.50","45.8","36.7",,,,
"Y",,"8","32","duplicate",,"3858","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Scheller and Joergensen 2008","https://doi.org/10.1002/jpln.200700272",,"N032",,,,,,,"51.17","9.59",,"Ellershausen, Germany","150","0","20",,"Eutric Cambisols","cropland",,,,"550","8.3",,,"bulk soil",,,"344","mg/kg","317","mg/kg","27","mg/kg",,"mg/kg",,"mg/kg",,,,,,,,,,,"394","mg/kg","54","mg/kg",,,"14.4","g/kg","1.23","g/kg","11.7","7.8",,"14.10","41.6","44.3",,,,
"Y",,"4","25",,"Y","321","Liang et al. 2019","https://doi.org/10.1111/gcb.14781","Edwin Scheller et al., 2008","https://doi.org/10.1002/jpln.200700272",,,,,"OFM","farming management",,"OFM","51°17'N","9°59'E",,,,"0","20",,"Eutric Cambisols","cropland",,,,"550","8.3",,,"bulk soil",,,,,"317","mg/kg","27.2","mg/kg",,,,,,,,,,,"1224","ug/g","2503.77","ug/g",,,,,"14.4","g/kg",,,"1.23",,,"7.8","water","14.10","41.6","44.3",,,,
"Y",,"4","25",,"Y","322","Liang et al. 2019","https://doi.org/10.1111/gcb.14781","Edwin Scheller et al., 2008","https://doi.org/10.1002/jpln.200700272",,,,,"CFM","farming management",,"CFM","51°19'N","9°52'E",,,,"0","20",,"Eutric Cambisols","cropland",,,,"630","8.5",,,"bulk soil",,,,,"316","mg/kg","24.2","mg/kg",,,,,,,,,,,"1089","ug/g","2533.29","ug/g",,,,,"10.6","g/kg",,,"1.12",,,"7.9","water","17.50","45.8","36.7",,,,
"Y",,"9","30","duplicate",,"3871","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Bode et al. 2009","https://doi.org/10.1002/rcm.4093",,"N034",,,,,,,"51.15","4.46",,"Wechelderzande, Belgium","19","0","10",,"Luvisols","grassland",,,,"882","11.3",,,"bulk soil",,,"1210","mg/kg","885","mg/kg","26","mg/kg","299","mg/kg",,"mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"21","g/kg","2","g/kg","10.5",,,"2.50","4.5","93",,,,
"Y",,"6","27",,"Y","367","Liang et al. 2019","https://doi.org/10.1111/gcb.14781","Samuel Bode et al., 2009","https://doi.org/10.1002/rcm.4093",,,,,,,,,"51°15'N","4°46'E",,,,"0","10",,"Luvisols","grassland",,,,"790","10.33",,,"bulk soil",,,,,"885","mg/kg","26","mg/kg","299","mg/kg",,,,,,,,,"1170","ug/g","7631.18","ug/g",,,,,,"g/kg","21.00",,"2",,,"6.32",,"2.5","4.5","93",,,"Zhang and Amelung (1996)",
"Y",,"5","24",,"Y","368","Liang et al. 2019","https://doi.org/10.1111/gcb.14781","Samuel Bode et al., 2013","https://doi.org/10.1002/rcm.6586",,,,"CORRECTED",,,,,"50°37'N","3°34'E",,,,"0","10",,"Luvisols","cropland",,,,"780","6.3~13.5",,,"bulk soil",,,,,"164","mg/kg","11","mg/kg","77",,,,,,,,,,"1151.55","ug/g","3016.47","ug/g",,,,,"11.3","g/kg",,,"1.1",,,,,"17.3","66.5","16.2",,,,
"Y",,"6","26","duplicate","Y","2543","Zhang et al. 2023","https://doi.org/10.1016/j.apsoil.2023.104985","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,"N07",,,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","0","20",,"Borolls","forest",,,,"900","-0.1",,,"aggregate","250-2000um","0.250-2mm",,,,,,,,,,,"84495.5021","mg/kg","30495.5021","mg/kg","54000","mg/kg",,,,,,,,,"130.80","g/kg","130.80","g/kg","8.6","g/kg","15",,,,,,,,,
"Y",,"6","26","duplicate","Y","2544","Zhang et al. 2023","https://doi.org/10.1016/j.apsoil.2023.104985","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,"N07",,,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","0","20",,"Borolls","forest",,,,"900","-0.1",,,"aggregate","<250um","<0.250mm",,,,,,,,,,,"143023.588","mg/kg","26023.588","mg/kg","117000","mg/kg",,,,,,,,,"130.80","g/kg","130.80","g/kg","8.6","g/kg","15",,,,,,,,,
"Y",,"5","25","duplicate","Y","2545","Zhang et al. 2023","https://doi.org/10.1016/j.apsoil.2023.104985","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,"N07",,,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","0","20",,"Borolls","forest",,,,"900","-0.1",,,"aggregate","<250um","<0.250mm",,,,,,,,,,,"152686.506","mg/kg",,"mg/kg","162000","mg/kg",,,,,,,,,"130.80","g/kg","130.80","g/kg","8.6","g/kg","15",,,,,,,,,
"Y",,"6","26","duplicate","Y","2546","Zhang et al. 2023","https://doi.org/10.1016/j.apsoil.2023.104985","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,"N07",,,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","0","20",,"Borolls","forest",,,,"900","-0.1",,,"aggregate","<250um","<0.250mm",,,,,,,,,,,"257498.3","mg/kg","36998.3004","mg/kg","220500","mg/kg",,,,,,,,,"130.80","g/kg","130.80","g/kg","8.6","g/kg","15",,,,,,,,,
"Y 6/21 units look good",,"14","26",,"Y","2547","Zhang et al. 2023","https://doi.org/10.1016/j.apsoil.2023.104985","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,"N07",,,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","0","20",,,"grassland",,,,"900","-0.1",,,"aggregate","250-2000um","0.250-2mm",,,"6200","mg/kg","300","mg/kg","2500","mg/kg","140","mg/kg","65448.8755","mg/kg","51948.8755","mg/kg","13500","mg/kg",,,,,,,,,,,,,,,,,,,,,,,,
"Y 6/21 units look good",,"14","26",,"Y","2548","Zhang et al. 2023","https://doi.org/10.1016/j.apsoil.2023.104985","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,"N07",,,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","0","20",,,"grassland",,,,"900","-0.1",,,"aggregate","<250um","0.02-0.250mm",,,"7100","mg/kg","400","mg/kg","3200","mg/kg","800","mg/kg","76765.1674","mg/kg","58765.1674","mg/kg","18000","mg/kg",,,,,,,,,,,,,,,,,,,,,,,,
"Y 6/21 units look good",,"14","26",,"Y","2549","Zhang et al. 2023","https://doi.org/10.1016/j.apsoil.2023.104985","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,"N07","FNC is negative, but AS values are correct (as reported in the text)",,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","0","20",,,"grassland",,,,"900","-0.1",,,"aggregate","<250um","0.002-0.02mm",,,"3200","mg/kg","3100","mg/kg","1400","mg/kg","1600","mg/kg","128505.047","mg/kg","-","mg/kg","139500","mg/kg",,,,,,,,,,,,,,,,,,,,,,,,
"Y 6/21 units look good",,"14","26",,"Y","2550","Zhang et al. 2023","https://doi.org/10.1016/j.apsoil.2023.104985","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,"N07",,,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","0","20",,,"grassland",,,,"900","-0.1",,,"aggregate","<250um","<0.002mm",,,"12000","mg/kg","4300","mg/kg","6900","mg/kg","400","mg/kg","246300.549","mg/kg","52800.5493","mg/kg","193500","mg/kg",,,,,,,,,,,,,,,,,,,,,,,,
"Y 6/21 units look good",,"8","26",,"Y","1318","Ni et al. 2020","https://doi.org/10.1111/geb.13159","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,,,,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","0","1.5","litter",,"forest",,,,"900","-0.1",,,"bulk soil",,,,,"5600","mg/kg","2000","mg/kg","700","mg/kg","1400","mg/kg",,,,,,,,,,,,,,,"465.7","g/kg","465.7","g/kg","11.5","g/kg",,,,,,,,,"Zhang and Amelung 1996",
"Y 6/21 units look good",,"8","28",,"Y","1319","Ni et al. 2020","https://doi.org/10.1111/geb.13159","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,,,,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","1.5","4.5","Of",,"forest",,,,"900","-0.1",,,"bulk soil",,,,,"11200","mg/kg","2600","mg/kg","5800","mg/kg","300","mg/kg",,,,,,,,,,,,,,,"340.3","g/kg","340.3","g/kg","15.5","g/kg",,"7.1","CaCl2",,,,,,"Zhang and Amelung 1996",
"Y 6/21 units look good",,"8","28",,"Y","1320","Ni et al. 2020","https://doi.org/10.1111/geb.13159","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,,,,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","4.5","6.5","Oh",,"forest",,,,"900","-0.1",,,"bulk soil",,,,,"11400","mg/kg","2200","mg/kg","6000","mg/kg","300","mg/kg",,,,,,,,,,,,,,,"258.6","g/kg","258.6","g/kg","13.2","g/kg",,"7.2","CaCl2",,,,,,"Zhang and Amelung 1996",
"Y 6/21 units look good",,"8","31",,"Y","1321","Ni et al. 2020","https://doi.org/10.1111/geb.13159","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,,,,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","6.5","16.5","A",,"forest",,,,"900","-0.1",,,"bulk soil",,,,,"4800","mg/kg","1300","mg/kg","2500","mg/kg","600","mg/kg",,,,,,,,,,,,,,,"130.8","g/kg","130.8","g/kg","8.6","g/kg",,"7","CaCl2","15.5","44.1","35.4",,,"Zhang and Amelung 1996",
"Y 6/21 units look good",,"8","25",,"Y","1322","Ni et al. 2020","https://doi.org/10.1111/geb.13159","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,,,,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","0","10",,,"forest",,,,"900","-0.1",,,"aggregate","250-2000um","0.250-2mm",,,"5100","mg/kg","1200","mg/kg","2400","mg/kg","700","mg/kg",,,,,,,,,,,,,,,"130.8","g/kg","130.8","g/kg",,,,,,,,,,,"Zhang and Amelung 1996",
"Y 6/21 units look good",,"8","25",,"Y","1323","Ni et al. 2020","https://doi.org/10.1111/geb.13159","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,,,,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","0","10",,,"forest",,,,"900","-0.1",,,"aggregate","2-250um","0.02-0.250mm",,,"6600","mg/kg","2600","mg/kg","2400","mg/kg","2700","mg/kg",,,,,,,,,,,,,,,"130.8","g/kg","130.8","g/kg",,,,,,,,,,,"Zhang and Amelung 1996",
"Y 6/21 units look good",,"8","25",,"Y","1324","Ni et al. 2020","https://doi.org/10.1111/geb.13159","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,,"FNC is negative, but AS values are correct (as reported in the text)",,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","0","10",,,"forest",,,,"900","-0.1",,,"aggregate","2-250um","0.002-0.02mm",,,"4100","mg/kg","3600","mg/kg","2300","mg/kg","800","mg/kg",,,,,,,,,,,,,,,"130.8","g/kg","130.8","g/kg",,,,,,,,,,,"Zhang and Amelung 1996",
"Y 6/21 units look good",,"8","25",,"Y","1325","Ni et al. 2020","https://doi.org/10.1111/geb.13159","Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,,,,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","0","10",,,"forest",,,,"900","-0.1",,,"aggregate","<2um","<0.002mm",,,"11100","mg/kg","4900","mg/kg","6000","mg/kg","300","mg/kg",,,,,,,,,,,,,,,"130.8","g/kg","130.8","g/kg",,,,,,,,,,,"Zhang and Amelung 1996",
"Y 6/21 units look good",,"8","28",,"Y","2550",,,"Turrión et al. 2002","https://doi.org/10.1007/s00374-001-0440-6",,,,,,,,,"40.02","72.39","lat-lon of Sui Checti Valley, Kyrgyzia",,"2900","0","10","A",,"grassland",,,,,,,,"bulk soil",,,,,"7100","mg/kg","500","mg/kg","3500","mg/kg","300","mg/kg",,,,,,,,,,,,,,,"87.7","g/kg","87.7","g/kg","11.5","g/kg",,"5.6","CaCl2","19.9","45.3","27.5",,,,
"Y",,"4","23",,"Y","357","Liang et al. 2019","https://doi.org/10.1111/gcb.14781","Liang et al., 2007","https://doi.org/10.1007/s00374-006-0142-1",,,,,"Brown soil",,"removed",,"41°31'N","123°24'E","lat-lon of Sui Checti Valley, Kyrgyzia",,,"0","20",,,"cropland",,,,"677","8.16",,,"bulk soil",,,,,"495","mg/kg","15","mg/kg",,,,,,,,,,,"675","ug/g","4262.41","ug/g",,,,,"10.02","g/kg",,,"1.21",,,"3.51",,"4.4",,,,,"Zhang and Amelung (1996)",
"Y",,"4","22",,"Y","358","Liang et al. 2019","https://doi.org/10.1111/gcb.14781","Liang et al., 2007","https://doi.org/10.1007/s00374-006-0142-1",,,,,"Black soil",,"removed",,"43°36'N","124°40'E","lat-lon of Sui Checti Valley, Kyrgyzia",,,"0","20",,,"cropland",,,,"573","5.49",,,"bulk soil",,,,,"572.23","mg/kg","35.3","mg/kg",,,,,,,,,,,"1588.5","ug/g","4696.85","ug/g",,,,,"12.51","g/kg",,,"1.52",,,"6",,,,,,,"Zhang and Amelung (1996)",
"Y",,"9","28",,,"3845","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Liang et al. 2007b","https://doi.org/10.1007/s00374-007-0170-5",,"N028",,,,,,,"41.31","123.24",,"Shenyang, China","55","0","20",,"Alfisols","cropland",,,,"625","7.5",,,"bulk soil",,,"829","mg/kg","690","mg/kg","37","mg/kg","103","mg/kg",,"mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"11.37","g/kg","1.21","g/kg","8.28","6",,,,,,,,
"Y",,"9","28",,,"3846","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Liang et al. 2007b","https://doi.org/10.1007/s00374-007-0170-5",,"N028",,,,,,,"41.31","123.24",,"Shenyang, China","55","0","20",,"Alfisols","cropland",,,,"625","7.5",,,"bulk soil",,,"827","mg/kg","549","mg/kg","29","mg/kg","249","mg/kg",,"mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"11.37","g/kg","1.21","g/kg","8.28","6",,,,,,,,
"Y",,"4","25",,"Y","789","Zhou et al. 2023","https://doi.org/10.1111/gcb.16613","Potthoff, et al. 2008","https://doi.org/10.1007/s00374-007-0266-y",,"control",,,"straw","straw",,"control","51.46","9.98",,,"228","0","10",,,"cropland",,"0.8728",,"676.6","10","0.08","1999","bulk soil",,,,,"600","mg/kg","31","mg/kg",,,,,,,,,,,"314",,,,,,,,,"g/kg","12.00",,"1.1",,,"6.9","water","12","14","74",,,,
